postion,number,link,name,team,date_of_birth,place_of_birth,height,club
GK,1,https://en.wikipedia.org/wiki/Manuel_Neuer,Manuel Neuer,GER,1986-03-27,"Gelsenkirchen, West Germany",193.0,Bayern Munich
RB,6,https://en.wikipedia.org/wiki/Joshua_Kimmich,Joshua Kimmich,GER,1995-02-08,"Rottweil, Germany",177.0,Bayern Munich
CB,2,https://en.wikipedia.org/wiki/Antonio_R%C3%BCdiger,Antonio Rüdiger,GER,1993-03-03,"Berlin, Germany",190.0,Real Madrid
CB,15,https://en.wikipedia.org/wiki/Nico_Schlotterbeck,Nico Schlotterbeck,GER,1999-12-01,"Waiblingen, Germany",191.0,Borussia Dortmund
LB,3,https://en.wikipedia.org/wiki/David_Raum,David Raum,GER,1998-04-22,"Nuremberg, Germany",180.0,RB Leipzig
CM,23,https://en.wikipedia.org/wiki/Robert_Andrich,Robert Andrich,GER,1994-09-22,"Potsdam, Germany",187.0,Bayer Leverkusen
CM,8,https://en.wikipedia.org/wiki/Toni_Kroos,Toni Kroos,GER,1990-01-04,"Greifswald, East Germany",183.0,
RW,19,https://en.wikipedia.org/wiki/Leroy_San%C3%A9,Leroy Sané,GER,1996-01-11,"Essen, Germany",183.0,Bayern Munich
AM,21,https://en.wikipedia.org/wiki/%C4%B0lkay_G%C3%BCndo%C4%9Fan,İlkay Gündoğan,GER,1990-10-24,"Gelsenkirchen, Germany",180.0,Barcelona
LW,10,https://en.wikipedia.org/wiki/Jamal_Musiala,Jamal Musiala,GER,2003-02-26,"Stuttgart, Germany",184.0,Bayern Munich
CF,7,https://en.wikipedia.org/wiki/Kai_Havertz,Kai Havertz,GER,1999-06-11,"Aachen, Germany",193.0,Arsenal
MF,25,https://en.wikipedia.org/wiki/Emre_Can,Emre Can,GER,1994-01-12,"Frankfurt, Germany",186.0,Borussia Dortmund
FW,9,https://en.wikipedia.org/wiki/Niclas_F%C3%BCllkrug,Niclas Füllkrug,GER,1993-02-09,"Hanover, Germany",189.0,Borussia Dortmund
DF,20,https://en.wikipedia.org/wiki/Benjamin_Henrichs,Benjamin Henrichs,GER,1997-02-23,"Bocholt, Germany",183.0,RB Leipzig
MF,17,https://en.wikipedia.org/wiki/Florian_Wirtz,Florian Wirtz,GER,2003-05-03,"Pulheim, Germany",177.0,Bayer Leverkusen
DF,16,https://en.wikipedia.org/wiki/Waldemar_Anton,Waldemar Anton,GER,1996-07-20,"Olmaliq, Uzbekistan",189.0,Borussia Dortmund
GK,1,https://en.wikipedia.org/wiki/Kasper_Schmeichel,Kasper Schmeichel,DEN,1986-11-05,"Copenhagen, Denmark",189.0,
CB,2,https://en.wikipedia.org/wiki/Joachim_Andersen_(footballer),Joachim Andersen (footballer),DEN,1996-05-31,"Solrød Strand, Denmark",192.0,Crystal Palace
CB,3,https://en.wikipedia.org/wiki/Jannik_Vestergaard,Jannik Vestergaard,DEN,1992-08-03,"Hvidovre, Denmark",199.0,Leicester City
CB,6,https://en.wikipedia.org/wiki/Andreas_Christensen,Andreas Christensen,DEN,1996-04-10,"Lillerød, Denmark",187.0,Barcelona
RM,18,https://en.wikipedia.org/wiki/Alexander_Bah,Alexander Bah,DEN,1997-12-09,"Årslev, Denmark",183.0,Benfica
CM,8,https://en.wikipedia.org/wiki/Thomas_Delaney,Thomas Delaney,DEN,1991-09-03,"Frederiksberg, Denmark",182.0,Anderlecht(on loan fromSevilla)
CM,23,https://en.wikipedia.org/wiki/Pierre-Emile_H%C3%B8jbjerg,Pierre-Emile Højbjerg,DEN,1995-08-05,"Copenhagen, Denmark",187.0,Tottenham Hotspur
LM,5,https://en.wikipedia.org/wiki/Joakim_M%C3%A6hle,Joakim Mæhle,DEN,1997-05-20,"Østervrå, Denmark",185.0,VfL Wolfsburg
AM,11,https://en.wikipedia.org/wiki/Andreas_Skov_Olsen,Andreas Skov Olsen,DEN,1999-12-29,"Hillerød, Denmark",187.0,Club Brugge
AM,10,https://en.wikipedia.org/wiki/Christian_Eriksen,Christian Eriksen,DEN,1992-02-14,"Middelfart, Denmark",182.0,Manchester United
CF,9,https://en.wikipedia.org/wiki/Rasmus_H%C3%B8jlund,Rasmus Højlund,DEN,2003-02-04,"Copenhagen, Denmark",191.0,Manchester United
MF,15,https://en.wikipedia.org/wiki/Christian_N%C3%B8rgaard,Christian Nørgaard,DEN,1994-03-10,"Copenhagen, Denmark",186.0,Brentford
FW,20,https://en.wikipedia.org/wiki/Yussuf_Poulsen,Yussuf Poulsen,DEN,1994-06-15,"Copenhagen, Denmark",192.0,RB Leipzig
FW,19,https://en.wikipedia.org/wiki/Jonas_Wind,Jonas Wind,DEN,1999-02-07,"Hvidovre, Denmark",190.0,VfL Wolfsburg
MF,26,https://en.wikipedia.org/wiki/Jacob_Bruun_Larsen,Jacob Bruun Larsen,DEN,1998-09-19,"Lyngby, Denmark",183.0,TSG Hoffenheim
DF,17,https://en.wikipedia.org/wiki/Victor_Kristiansen,Victor Kristiansen,DEN,2002-12-16,"Copenhagen, Denmark",181.0,Bologna(on loan fromLeicester City)
